Campaign,Ad Group,Keyword,Match Type,Max CPC,Status,Ad Type,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2
Branded Keywords - Energy,Eneco,"eneco bellen",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Eneco,"eneco klantenservice",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Eneco,"bellen met eneco",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Eneco,"eneco klantenservice bellen",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Eneco,"hulp met eneco",Phrase,1.80,Enabled,,,,,,,,,
Branded Keywords - Energy,Eneco,,,,,Responsive search ad,Onze Klantenservice - Eneco,Geen Wachttijd - Bel Nu,AdviesNeutraal Hulplijn,Klantenservice energie: snel advies direct geholpen. Onafhankelijke hulplijn.,Vragen over Eneco? Onze service helpt je of verwijst door. Direct bereikbaar.,https://yourdomain.nl/klantenservice,klantenservice,eneco
Branded Keywords - Energy,Eneco,,,,,Responsive search ad,AdviesNeutraal Service,Eneco Vragen? Bel Direct,Onze Hulplijn Helpt Nu,Onze klantenservice voor Eneco-vragen. Advies of doorverwijzing. Nu bereikbaar!,Hulp nodig? Bel onze onafhankelijke energie-service. Snel geholpen. Ma-vr 8-20u.,https://yourdomain.nl/klantenservice,klantenservice,eneco
Branded Keywords - Energy,Essent,"essent bellen",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Essent,"essent klantenservice",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Essent,"bellen met essent",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Essent,"essent klantenservice bellen",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Essent,"hulp met essent",Phrase,1.80,Enabled,,,,,,,,,
Branded Keywords - Energy,Essent,,,,,Responsive search ad,Onze Klantenservice Energie,Essent Hulp - Bel Direct,AdviesNeutraal Service,Klantenservice voor Essent-vragen. Onze adviseurs helpen direct of verwijzen door.,Hulp nodig met Essent? Bel onze onafhankelijke service. Direct geholpen. Gratis.,https://yourdomain.nl/klantenservice,klantenservice,essent
Branded Keywords - Energy,Essent,,,,,Responsive search ad,AdviesNeutraal - Essent,Geen Wachttijd Bel Nu,Onze Energie Klantenservice,Onafhankelijke klantenservice voor Essent. Advies of doorverwijzing naar officieel.,Vragen over Essent-contract? Onze service helpt direct. Ma-vr 8-20u bereikbaar.,https://yourdomain.nl/klantenservice,klantenservice,essent
Branded Keywords - Energy,Vattenfall,"vattenfall bellen",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Vattenfall,"vattenfall klantenservice",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Vattenfall,"bellen met vattenfall",Phrase,2.00,Enabled,,,,,,,,,
Branded Keywords - Energy,Vattenfall,"hulp met vattenfall",Phrase,1.80,Enabled,,,,,,,,,
Branded Keywords - Energy,Vattenfall,,,,,Responsive search ad,AdviesNeutraal Service,Vattenfall Vragen? Bel Nu,Onze Klantenservice Helpt,Klantenservice voor Vattenfall-vragen. Onze adviseurs helpen direct. Nu bellen!,Onafhankelijke energie-klantenservice. Advies of doorverwijzing. Snel geholpen.,https://yourdomain.nl/klantenservice,klantenservice,vattenfall
Branded Keywords - Energy,Vattenfall,,,,,Responsive search ad,Onze Energie Service,Vattenfall - Direct Geholpen,Geen Wachtrij Bel Direct,Hulp met Vattenfall? Onze onafhankelijke service helpt of verwijst door. Gratis.,Vragen over Vattenfall-contract? Bel onze adviseurs. Ma-vr 8-20u bereikbaar.,https://yourdomain.nl/klantenservice,klantenservice,vattenfall
Branded Keywords - Energy,Generic Energy,"energie klantenservice",Phrase,1.80,Enabled,,,,,,,,,
Branded Keywords - Energy,Generic Energy,"energie klantenservice bellen",Phrase,1.80,Enabled,,,,,,,,,
Branded Keywords - Energy,Generic Energy,"energieleverancier bellen",Phrase,1.80,Enabled,,,,,,,,,
Branded Keywords - Energy,Generic Energy,"klantenservice energie",Phrase,1.80,Enabled,,,,,,,,,
Branded Keywords - Energy,Generic Energy,"hulp energieleverancier",Phrase,1.60,Enabled,,,,,,,,,
Branded Keywords - Energy,Generic Energy,,,,,Responsive search ad,Energie Klantenservice Hulp,AdviesNeutraal - Bel Direct,Onze Service Helpt Nu,Onafhankelijke klantenservice voor alle energievragen. Direct advies of doorverwijzing.,Hulp met energieleverancier? Onze adviseurs staan klaar. Ma-vr 8-20u bereikbaar.,https://yourdomain.nl/klantenservice,klantenservice,energie
Branded Keywords - Energy,Generic Energy,,,,,Responsive search ad,Onze Energie Klantenservice,Direct Geholpen Met Advies,Geen Wachttijd Bel Nu,Klantenservice voor energie-vragen. Snel advies of doorverwijzing naar leverancier.,Onafhankelijke hulplijn energie. Bel voor advies over contract en tarieven. Gratis.,https://yourdomain.nl/klantenservice,klantenservice,hulp

